time_us,ax,ay,az,D
139831048,15.3,-24.6,66.37,262.57
139837349,-99.2,144.86,-79.79,263.86
139843447,-103.32,29.07,-117.21,262.57
139849551,-21.77,22.24,-62.96,260
139855640,53.9,-67.31,43.78,261.29
139861730,24.48,-98.03,61.19,262.57
139867833,-78.14,-79.08,63.78,263.86
139873923,-1.88,-53.31,61.9,260
139880004,-50.25,115.91,-87.44,257.43
139890089,123.33,6.71,27.3,260
139896556,-26.71,39.89,103.68,261.29
139902659,-208.41,45.42,-9.77,263.86
139908750,-164.63,-29.77,-65.9,262.57
139914848,53.66,1.41,-28.36,262.57
139920932,74.26,18.83,33.07,260
139927021,92.61,-53.54,80.96,261.29
139933111,59.55,-23.18,49.54,262.57
139939202,62.25,78.37,38.83,261.29
139945294,-177.7,138.27,-54.72,261.29
139951401,-12,-61.19,-62.02,257.43
139957490,75.67,48.13,-9.06,257.43
139963573,-112.85,16.36,95.56,261.29
139969686,-143.33,-70.84,82.96,265.14
139977970,-98.26,175.11,-40.95,261.29
139984087,33.89,-42.84,-51.54,257.43
139990178,208.76,-33.77,-79.32,257.43
139996276,224.06,-11.41,5.3,260
140002364,81.43,13.18,42.95,263.86
140008454,-84.96,114.27,7.3,263.86
140014545,-148.16,31.89,-54.02,262.57
140020642,-59.19,-25.18,-92.03,260
140026733,146.51,-69.78,14.36,257.43
140032831,75.43,-17.06,108.97,261.29
140038929,-38.95,36.48,72.96,263.86
140045020,-144.98,147.1,141.69,261.29
140051133,-185.7,55.54,-100.62,261.29
140060854,55.54,-3.88,-43.42,261.29
140067246,8.36,-74.02,46.01,262.57
140073351,-7.53,-99.2,45.31,265.14
140079434,-123.33,29.66,8.83,262.57
140085525,-119.56,162.87,26.01,261.29
140091631,22.59,59.9,-33.89,256.15
140097723,149.69,12.94,36.6,260
140103819,-4,27.42,68.37,262.57
140109900,-119.21,82.49,41.54,263.86
140115998,-187.82,-26.48,-120.62,262.57
140122104,-37.07,-70.02,-122.86,262.57
140128201,81.2,46.6,-27.07,260
140134289,34.83,-36.48,80.14,260
140140378,-27.89,-66.14,93.91,263.86
140148424,-157.57,183.58,52.96,262.57
140154550,-118.86,68.61,-61.08,260
