time_us,ax,ay,az,D
318396455,-47.54,42.01,-4.24,260
318402538,50.37,17.06,-75.08,257.43
318408627,132.74,-4.71,-44.72,257.43
318414720,109.32,-12.59,-9.06,261.29
318420812,-70.37,14.83,28.01,261.29
318426903,-151.1,44.13,32.01,261.29
318434860,-117.68,11.77,-47.07,261.29
318440975,50.48,-9.53,-38.36,260
318447059,117.56,-23.42,-0.71,257.43
318453150,77.32,10.94,75.55,257.43
318459254,-6.12,50.6,82.02,262.57
318465337,-66.96,56.37,2.71,262.57
318471421,-56.25,36.6,-76.37,257.43
318477524,8.83,-5.53,-107.32,257.43
318483608,83.32,-29.18,-59.43,260
318489699,54.02,-45.9,56.25,261.29
318495790,-32.48,11.18,83.67,261.29
318501883,-110.62,24.6,52.13,262.57
318507980,-58.13,31.3,2.71,262.57
318514066,37.89,12,-43.31,257.43
318523130,138.51,-0.94,-27.77,256.15
318529430,92.14,9.53,30.95,260
318535520,-48.01,40.6,31.66,262.57
318541611,-121.45,32.95,7.18,261.29
318547704,-100.5,16.59,-34.36,257.43
318553803,-27.54,-14.24,-70.14,260
318559909,75.32,-44.25,-31.3,257.43
318566001,78.73,-27.89,31.42,261.29
318572094,21.65,15.18,88.85,257.43
318578185,-27.07,36.13,81.67,260
318584276,-49.19,47.31,10.24,260
318590366,-16.95,37.78,-51.19,261.29
318596459,31.42,6.24,-86.02,257.43
318604420,65.43,-19.06,-43.89,260
318610525,34.83,-12.12,11.89,261.29
318616618,-58.96,6,68.73,262.57
318622702,-97.44,16.83,57.31,262.57
318628794,-82.02,21.65,2.82,261.29
318634878,5.06,6.83,-22.48,257.43
318640954,62.02,-7.06,-28.6,260
318647036,93.32,2.71,-2.94,256.15
318653114,77.32,16.59,42.36,260
318659205,-0.12,39.78,42.84,260
318665301,-68.02,36.83,19.06,261.29
318671393,-71.67,25.65,-20.01,262.57
318677483,-39.89,1.06,-62.02,257.43
318683566,26.12,-26.95,-61.43,257.43
318692581,45.42,-37.19,-7.41,257.43
318698874,24.83,0.47,58.72,262.57
318704963,-20.36,13.77,72.73,260
318711056,-46.6,30.01,47.19,261.29
318717146,-34.83,38.25,23.54,261.29
318723239,6.35,23.3,-52.72,257.43
318729323,34.95,17.77,-59.55,260
318735415,64.37,5.06,-42.01,260
318741496,46.84,4.24,-8.47,257.43
318747573,4.71,6.59,22.59,260
318753648,-45.07,7.41,34.95,257.43
318759733,-68.14,15.53,18.83,262.57
318765839,-46.6,9.65,-7.41,260
318771915,-16.59,4.24,-24.12,261.29
318778001,42.48,-4.47,-24.83,261.29
318785946,58.37,1.29,3.65,261.29
318792039,51.07,21.42,42.84,257.43
318798130,13.89,26.36,45.9,261.29
318804221,-17.65,31.77,27.89,257.43
318810313,-42.25,27.18,2,257.43
318816395,-40.25,20.83,-29.07,261.29
318822486,-1.29,7.53,-56.72,260
318828563,21.89,-21.3,-59.43,261.29
318834654,29.18,-23.3,-33.54,260
318840744,23.65,-17.77,0.82,261.29
318846829,8.36,2.59,43.54,260
318852904,-18.71,12.47,48.13,261.29
318858996,-32.36,24.36,43.54,260
318865087,-34.13,28.01,24.83,260
318873812,-2.12,27.07,-19.89,260
318880112,28.95,36.25,-45.9,257.43
318886210,46.48,14,-38.13,261.29
318892301,50.72,20.24,-10.12,257.43
318898391,31.07,8.36,4.94,261.29
318904468,5.41,7.53,10.83,260
318910543,-10.71,-2.12,15.89,261.29
318916628,-46.72,5.53,6.83,260
318922704,-45.54,1.06,-11.18,261.29
318928789,-20.59,-1.06,-22.71,261.29
318934873,5.41,-6.24,-26.83,261.29
318940950,24.95,-4.82,-18.71,261.29
318947036,40.83,1.88,2.47,261.29
318953112,35.89,15.65,29.07,260
318961312,4.47,21.54,44.72,261.29
318967412,-11.3,25.18,47.07,260
318973502,-20.36,29.18,19.89,260
318979592,-18.36,22.71,-1.06,257.43
318985676,-8.71,17.65,-24.71,260
318991759,2.59,12,-40.95,257.43
318997841,20.24,-11.18,-45.07,261.29
319003933,27.77,-10.71,-33.19,260
319010022,24.01,-6.71,-14.12,261.29
319016108,8.59,-2.35,4.35,257.43
319022177,-2.82,1.53,24.71,260
319028253,-22.01,17.42,34.36,260
319034344,-27.54,17.3,34.83,260
319040435,-30.24,20.48,19.42,262.57
319048734,-10.83,20.36,1.65,260
319054883,6.12,17.06,-11.53,260
319060970,26.01,9.41,-20.24,257.43
319067053,27.77,14.47,-11.41,257.43
319073159,32.83,14.24,-5.3,261.29
319079247,25.3,12.59,7.65,261.29
319085332,6.24,16.24,15.42,260
319091416,-4.47,14,13.42,257.43
319097499,-13.3,3.41,8,261.29
319103571,-22.12,3.77,0,257.43
319109646,-18.48,-1.88,-10.83,261.29
319115732,-14.71,-3.18,-26.6,260
319121815,-3.88,-7.3,-28.71,261.29
319127893,9.89,-5.65,-28.83,260
319135824,17.53,1.06,-15.53,257.43
319141923,17.42,11.3,7.3,260
319148005,12.83,12.59,20.59,261.29
319154096,2.35,24.01,36.48,261.29
319160179,-4.71,24.24,33.66,260
319166263,-10,28.6,29.77,260
319172350,-12.12,22.48,22.95,260
319178440,-10.94,16.12,7.41,260
319184523,-3.06,14.83,-5.41,260
319190598,3.65,10.71,-26.12,260
319196681,10.71,6,-34.48,261.29
319202764,17.3,6.94,-33.66,261.29
319208850,19.3,-0.35,-32.24,260
319214933,14.12,-0.94,-21.65,257.43
319223780,7.18,2,-0.12,260
319230055,1.53,2.82,8.24,260
319236131,-9.18,4.59,18.01,261.29
319242208,-12.12,6,25.54,261.29
319248292,-18.01,7.53,20.48,261.29
319254376,-17.65,11.77,14.95,261.29
319260468,-13.18,13.89,5.77,261.29
319266553,-5.3,14.83,-1.65,257.43
319272630,2.71,16.12,-10.12,257.43
319278714,10.94,18.48,-11.3,260
319284803,15.3,17.42,-6.47,257.43
319290887,13.3,18.24,-4.82,257.43
319296971,13.77,14.95,2.59,257.43
319303055,14,12.83,10,257.43
319310999,9.18,4.35,12,257.43
319317090,5.18,0.82,13.18,262.57
319323165,-3.06,-0.94,8.83,261.29
319329234,-6.83,-1.65,3.53,260
319335299,-9.65,0.82,-6.71,260
319341367,-8.36,2.82,-12.71,260
319347443,-2.82,0.94,-21.65,257.43
319353520,-0.47,7.41,-26.95,261.29
319359597,2.82,8.71,-24.83,257.43
319365674,5.18,13.53,-19.77,257.43
319371759,2.47,18.12,-11.06,257.43
319377857,6.35,13.18,-4.12,260
319383933,8.24,17.06,16.95,260
319390015,2.94,12.94,19.18,261.29
319396099,-0.24,15.06,24.83,261.29
319404975,-5.65,15.89,31.07,257.43
319411273,-7.18,13.77,23.54,261.29
319417361,-7.3,13.42,21.18,261.29
319423445,-8.71,11.77,14.24,261.29
319429530,-5.3,9.18,2,260
319435595,-2,7.88,-5.88,257.43
319441664,3.18,5.77,-14.47,261.29
319447741,8.71,4.82,-21.89,260
319453816,10.24,3.41,-21.65,261.29
319459900,2.24,8.36,-10.12,257.43
319465977,8,0.47,-16.95,260
319472050,11.18,3.77,-12.12,257.43
319478134,9.65,3.41,-4.12,257.43
319478134,9.65,3.41,-4.12,257.43
