time_us,ax,ay,az,D
381170344,-27.54,-30.24,-52.84,270.28
381176585,130.74,-25.65,-20.71,269
381182677,173.46,6.47,90.61,267.71
381188762,25.65,33.54,80.73,267.71
381194848,-71.9,62.25,5.18,266.43
381200924,-73.31,51.43,-95.2,267.71
381207012,-27.18,3.65,-95.79,266.43
381213090,78.14,-52.01,-43.07,269
381219176,16.59,-76.26,75.2,271.57
381229323,-122.62,22.59,54.13,270.28
381235808,-51.9,28.71,-30.71,266.43
381241905,67.31,16.59,-77.79,263.86
381247998,153.34,-3.06,-44.25,263.86
381254089,102.62,-3.77,34.48,265.14
381260181,-101.09,44.13,28.95,270.28
381266279,-162.4,44.37,7.3,271.57
381272372,-104.85,15.42,-70.14,269
381278470,28.24,-40.48,-50.72,270.28
381284561,133.8,-22.24,57.31,267.71
381290661,68.84,-4.24,101.79,269
381296751,-30.48,75.08,55.07,267.71
381302841,-71.31,57.78,-32.83,266.43
381308933,-0.47,15.53,-111.56,265.14
381317224,103.56,-26.95,-66.25,265.14
381323339,-8.24,-23.3,62.61,267.71
381329424,-90.97,17.89,74.49,269
381335527,-134.15,38.36,53.54,267.71
381341627,-10.71,12.47,-34.72,265.14
381347719,123.21,-12.24,-54.84,262.57
381353819,157.57,-9.65,11.89,263.86
381359913,63.55,0.12,34.72,265.14
381365996,-66.61,60.25,6.83,266.43
381372080,-152.4,48.25,-45.9,265.14
381378178,-108.03,-30.83,-71.55,266.43
381384277,87.2,-38.83,-36.6,267.71
381390370,127.09,-54.02,78.73,270.28
381399610,-46.37,29.3,109.21,267.71
381405949,-61.9,62.84,-12.83,269
381412043,3.18,37.19,-90.97,266.43
381418128,67.31,9.3,-85.79,266.43
381424213,94.97,-29.3,-25.42,270.28
381430305,-13.3,-1.65,62.96,272.85
381436405,-154.28,29.3,62.84,271.57
381442506,-154.63,1.65,-7.41,270.28
381448592,36.95,-0.94,-24.95,270.28
381454677,134.39,-21.54,-43.54,266.43
381460777,139.22,-6.24,56.96,265.14
381466870,29.18,17.42,56.6,266.43
381472961,-134.39,73.79,-1.06,267.71
381479053,-124.62,22.12,-108.03,269
381487013,34.83,-24.12,-54.13,269
381493121,44.01,-42.72,65.67,269
381499211,31.42,-23.42,85.55,270.28
381505303,-80.38,50.84,76.96,271.57
381511394,-71.08,67.78,11.18,266.43
381517487,67.9,11.06,-106.03,265.14
381523585,122.98,0.71,-77.9,263.86
381529678,123.21,-3.41,26.48,266.43
381535771,-61.43,6.94,54.25,269
381541868,-157.93,33.66,15.65,270.28
381547969,-112.5,1.88,-27.65,270.28
381554061,12.12,-33.42,-38.95,266.43
381560154,146.51,-24.71,11.89,267.71
381566254,177.7,23.77,80.73,265.14
381575764,-68.84,78.26,32.24,266.43
381582151,-80.14,31.66,-98.85,266.43
381588247,-21.77,-0.35,-120.27,266.43
381594339,92.14,-33.66,-48.72,269
381600432,34.6,-59.66,83.67,271.57
381606524,-83.67,12.83,95.2,270.28
381612616,-110.85,52.37,56.37,270.28
381618715,-64.72,13.65,-34.36,267.71
381624810,115.56,-8,-96.85,266.43
381630900,148.98,-11.53,-18.59,265.14
381637000,42.13,5.88,31.3,267.71
381643100,-98.85,41.54,20.12,269
381649189,-177.81,45.31,-11.77,272.85
381657199,-63.66,-25.18,-75.2,269
381663306,88.14,-40.13,18.71,267.71
381669398,109.68,-34.6,74.37,269
381675496,26.6,43.54,81.91,269
381681586,-75.79,54.02,21.54,267.71
381687678,-31.54,52.13,-108.85,263.86
381693778,45.78,6,-99.09,262.57
381699862,95.91,-29.54,-68.25,265.14
381705955,-48.72,-59.31,74.02,267.71
381712048,-97.2,17.3,91.79,270.28
381718140,-118.97,29.18,8.12,267.71
381724233,-19.65,24.48,-17.65,263.86
381730325,106.74,-11.77,-46.6,262.57
381736424,162.52,-8,8.94,262.57
381745625,-68.84,53.07,29.42,266.43
381751981,-146.51,59.31,-4.35,265.14
381758090,-95.44,4.47,-65.08,265.14
381764174,34.36,-25.65,-61.31,266.43
381770267,111.21,-42.72,49.54,267.71
381776368,74.02,-15.18,102.62,269
381782465,-58.72,50.48,80.38,269
381788556,-67.9,70.25,9.65,265.14
381794640,0.12,17.77,-106.5,265.14
381800731,82.26,-12.83,-102.97,265.14
381806830,91.44,-18.48,15.77,267.71
381812923,-19.3,-1.65,54.25,269
381819007,-138.86,26.71,42.13,271.57
381826957,-97.56,23.77,-29.66,267.71
381833066,66.02,-7.06,-57.31,266.43
381839155,173.22,-6.35,21.3,265.14
381845260,105.32,10.24,58.13,266.43
381851358,-33.54,50.01,26.71,266.43
381857449,-123.68,30.95,-49.78,269
381863548,-78.02,9.77,-97.32,267.71
381869635,58.84,-36.01,-76.26,269
381875726,116.62,-47.31,18.71,269
381881825,29.42,-31.3,110.27,269
381887923,-72.84,28.95,101.09,270.28
381894021,-57.9,54.02,-7.77,266.43
381900104,55.54,7.65,-84.85,265.14
381906190,123.92,-5.77,-69.31,263.86
381915240,46.72,-8,40.72,267.71
381921541,-122.39,22.01,25.65,269
381927647,-190.05,39.19,22.24,269
381933744,-48.72,-11.89,-56.6,266.43
381939836,85.08,-23.3,-34.6,265.14
381945927,134.98,-14.47,72.61,267.71
381952028,82.26,1.65,87.32,266.43
381958112,-33.89,60.02,23.89,266.43
381964203,-95.67,54.37,-47.31,266.43
381970296,-34.95,-5.3,-98.85,263.86
381976382,91.32,-5.53,-73.2,266.43
381982466,79.43,-38.72,84.02,267.71
381988559,-36.01,-11.3,106.97,270.28
381994658,-122.74,9.77,98.97,267.71
382002634,-62.49,-2.71,-44.72,265.14
382008736,97.67,-3.77,-91.08,262.57
382014822,136.16,-3.77,-14.47,263.86
382020915,57.19,6.94,28.13,263.86
382027001,-69.08,29.54,27.3,267.71
382033092,-172.75,38.83,-1.77,266.43
382039185,-77.43,10.12,-56.49,265.14
382045278,59.43,-23.3,-37.3,265.14
382051385,114.38,-27.89,24.12,267.71
382057485,46.25,-3.41,95.56,266.43
382063570,-30.83,44.84,87.2,265.14
382069661,-71.9,55.9,-6.47,263.86
382075745,-17.65,31.54,-86.49,261.29
382081839,24.12,2.94,-104.85,263.86
382090786,68.37,-27.65,3.3,267.71
382097100,-16.59,13.18,75.08,266.43
382103198,-132.51,30.01,77.79,267.71
382109298,-94.38,54.96,-0.71,267.71
382115383,9.18,-5.88,-50.72,262.57
382121461,91.79,-4.59,-34.24,262.57
382127546,118.39,2.82,9.41,263.86
382133632,74.14,14.47,37.07,262.57
382139724,-70.37,49.78,21.65,265.14
382145816,-128.74,33.42,-4.47,262.57
382151924,-53.31,-24.24,-69.67,263.86
382158018,18.12,-26.24,-98.26,263.86
382164111,80.73,-21.3,-5.18,267.71
382172053,40.48,1.29,79.2,267.71
382178153,-23.42,30.01,86.26,266.43
382184243,-47.19,36.48,30.95,263.86
382190335,-21.3,43.07,-22.01,263.86
382196427,37.89,18.95,-85.67,263.86
382202519,71.08,-4.24,-69.9,262.57
382208605,72.14,-8.94,-7.88,263.86
382214684,-13.42,7.06,42.01,267.71
382220768,-79.79,24.12,54.25,267.71
382226862,-105.32,18.95,22.01,266.43
382232960,-58.13,-1.06,-26.83,265.14
382239044,45.66,-0.47,-43.31,263.86
382245129,85.32,-7.18,-5.41,263.86
382251207,84.02,0.94,40.83,263.86
382260043,-20.59,55.43,57.07,263.86
382266352,-94.73,46.01,10.36,265.14
382272447,-75.32,38.72,-36.13,265.14
382278541,-19.42,-2.24,-71.31,266.43
382284628,9.18,-18.59,-80.26,266.43
382290712,47.9,-18.01,-19.89,267.71
382296805,28.95,-12.59,38.6,270.28
382302897,-15.89,4.59,69.67,269
382308982,-42.36,21.54,67.08,267.71
382315074,-41.89,33.3,22.01,266.43
382321174,0.24,29.54,-22.71,263.86
382327258,35.54,12.83,-62.13,262.57
382333351,68.49,5.53,-48.25,263.86
382339436,72.26,-5.06,-1.29,265.14
382347371,9.06,16.36,27.89,263.86
382353471,-66.72,17.3,38.72,263.86
382359577,-80.61,-0.35,8.47,263.86
382365653,-43.66,10.83,-16.48,263.86
382371746,-7.18,-10.94,-38.95,265.14
382377831,35.66,-8.83,-30.13,265.14
382383916,55.19,-8,11.89,266.43
382389999,54.25,9.18,42.95,265.14
382396084,22.95,14.36,56.13,263.86
382402176,-31.07,39.66,53.78,263.86
382408268,-44.95,34.95,16.71,262.57
382414363,-21.06,26.71,-28.24,262.57
382420456,-16.59,-3.53,-36.01,262.57
382426541,13.89,2.35,-57.07,263.86
382435648,28.83,-15.53,-35.77,263.86
382441961,8.12,-7.53,22.24,266.43
382448042,-4.12,0.24,46.37,267.71
382454123,-34.6,10.12,52.96,267.71
382460230,-43.78,18.59,36.36,266.43
382466322,-31.19,21.65,0.59,267.71
382472407,4.82,23.18,-17.06,263.86
382478503,30.6,11.53,-32.71,263.86
382484593,49.19,15.89,-49.07,263.86
382490686,40.95,15.53,-5.53,265.14
382496771,18.95,16.24,17.53,263.86
382502859,0,19.65,27.89,263.86
382508943,-35.3,14.95,13.42,263.86
382515035,-48.84,12.94,5.77,265.14
382523001,-39.31,4.82,-25.07,265.14
382529102,-9.77,-3.06,-37.19,265.14
382535179,6.59,-9.18,-31.19,266.43
382541257,32.36,-8.94,-20.95,267.71
382547342,35.66,-3.3,6.12,266.43
382553428,20.59,14.47,34.36,265.14
382559520,6.47,17.77,45.07,266.43
382565607,-13.06,32.36,40.6,263.86
382571698,-18.59,35.3,28.01,262.57
382577789,-15.06,27.18,2.47,261.29
382583874,-9.53,19.06,-21.42,262.57
382589959,1.77,15.53,-37.66,263.86
382596044,18.01,3.06,-44.95,261.29
382602130,22.24,-4.94,-31.19,263.86
382610870,14.59,-8,-4.47,265.14
382617163,3.06,-0.82,18.95,265.14
382623243,-13.89,8.71,29.3,265.14
382629331,-23.42,11.41,27.54,265.14
382635423,-31.07,12.94,18.59,266.43
382641514,-12.71,12.59,33.89,265.14
382647607,3.65,19.89,16.24,266.43
382653692,14.36,-0.71,-12,263.86
382659776,31.07,-0.35,-5.41,263.86
382665868,29.3,5.3,-14.83,265.14
382671952,28.36,18.24,3.88,263.86
382678036,19.89,17.18,11.89,263.86
382684128,11.18,18.36,21.06,265.14
382690220,-5.53,15.3,18.59,263.86
382698473,-16.48,14.83,12.47,262.57
382704585,-22.95,7.3,-3.3,266.43
382710666,-16.24,-2.71,-18.36,263.86
382716753,-10.71,0.47,-33.07,266.43
382722837,-0.82,-3.88,-33.19,266.43
382728915,12.71,-5.18,-26.01,267.71
382735000,16.24,-2.71,-16.83,267.71
382741087,14.36,9.65,4.59,269
382747163,10,10.71,15.53,269
382753251,3.53,18.71,37.66,266.43
382759335,-10.12,22.83,36.13,266.43
382765440,-11.65,22.48,35.54,266.43
382771532,-12.59,22.24,24.71,265.14
382777624,-14.71,22.24,17.77,263.86
382786598,-2.35,15.65,-4.59,262.57
382792917,1.41,11.3,-23.42,262.57
382799009,13.89,7.65,-26.12,262.57
382805098,16.83,6.59,-28.13,263.86
382811183,16.36,2,-25.07,263.86
382817266,15.65,0.35,-18.95,262.57
382823351,11.3,1.18,-4.47,263.86
382829428,5.53,4.59,7.3,265.14
382835497,-1.65,4.35,15.18,266.43
382841574,-6.94,1.65,17.18,266.43
382847652,-11.3,4.35,14.83,265.14
382853736,-14.12,5.3,14.83,269
382859820,-14.12,10.71,5.65,265.14
382865905,-8.36,10.12,-2.71,265.14
382871997,-0.59,10.83,-8.71,263.86
382879929,7.18,16.83,-12.47,265.14
382886030,10.36,19.65,-11.06,266.43
382892121,12,16.36,-7.53,263.86
382898205,11.3,21.42,0.94,266.43
382904288,8.94,22.36,9.65,265.14
382910365,5.65,17.18,16.24,263.86
382916451,3.88,11.65,14.24,263.86
382922536,1.18,9.3,15.89,263.86
382928613,-1.65,9.53,14.83,263.86
382934690,-4.24,4.35,8.94,263.86
382940760,-5.53,1.18,1.53,266.43
382946830,-5.3,1.29,-10.24,265.14
382952906,-2.71,3.41,-13.77,265.14
382958984,-0.47,4.12,-21.77,265.14
382967847,1.18,6.35,-25.89,266.43
382974156,3.88,9.18,-22.01,265.14
382980240,7.41,12.12,-15.42,267.71
382986327,6.47,11.18,-8.12,267.71
382992405,6.35,11.18,-0.71,269
382998480,5.41,11.65,10.12,269
383004563,-3.88,12,23.54,270.28
383004563,-3.88,12,23.54,270.28
