time_us,ax,ay,az,D
198505589,-45.19,-23.18,-69.55,261.29
198511680,9.41,-17.53,-54.02,262.57
198517762,24.01,4.94,-11.06,262.57
198523844,19.42,-8.12,-11.53,261.29
198529928,21.18,-24.71,5.18,261.29
198536011,11.65,6.12,50.13,262.57
198542108,3.53,78.37,71.55,262.57
198548191,-74.49,69.55,40.95,262.57
198556235,-40.36,26.24,-15.3,262.57
198562339,-20.12,49.66,1.65,262.57
198568420,-2.35,3.65,-57.55,261.29
198574496,19.06,-2.24,-52.49,260
198580578,46.84,-7.06,-30.6,260
198586658,38.95,12.71,1.18,260
198592739,16.59,7.06,16,262.57
198598821,-20.95,0.82,17.65,261.29
198604902,-30.24,10.12,24.24,263.86
198610991,-39.78,14.71,18.36,261.29
198617082,-32.36,8.71,-9.3,262.57
198623157,-7.3,-7.53,-25.07,261.29
198629233,16.83,-4.47,-23.65,260
198635314,34.95,7.65,-3.3,261.29
198644249,33.19,8.12,9.65,262.57
198650538,24.01,15.18,24.01,262.57
198656629,12.59,24.12,40.36,262.57
198662718,-10.59,29.07,28.48,261.29
198668807,-21.42,23.3,12.83,261.29
198674897,-23.18,15.18,-6,262.57
198680979,-17.3,11.41,-22.36,262.57
198687069,4.35,-0.59,-30.48,261.29
198693144,10.36,-7.53,-43.54,261.29
198699227,14,-11.3,-37.54,262.57
198705316,21.65,-8.71,-16.12,263.86
198711398,18.95,3.53,1.18,263.86
198717474,4.47,6.47,14.83,263.86
198723549,-2.82,9.3,30.6,262.57
198731546,-12.12,24.01,41.07,263.86
198737650,-20.83,27.42,37.07,262.57
198743739,-20.48,17.53,12.12,263.86
198749841,-4.12,15.65,1.65,261.29
198755917,2.71,17.77,-8.36,262.57
198761992,12.94,13.89,-17.89,263.86
198768082,20.12,4.82,-24.83,265.14
198774164,25.77,6.12,-17.06,263.86
198780247,23.77,7.88,-9.18,261.29
198786323,12,7.41,1.06,262.57
198792396,2.71,5.77,5.18,261.29
198798466,-4.71,2.71,10.12,262.57
198804540,-9.53,5.18,14,261.29
198810614,-14.59,3.3,5.88,262.57
198819668,-17.89,-1.77,-4.35,261.29
198825957,-6.12,2.35,-10.71,261.29
198832037,-2.12,6.35,-9.53,262.57
198838105,4.82,8.83,-17.77,261.29
198844181,10.83,12.71,-11.77,263.86
198850285,15.77,15.42,-4.71,261.29
198856368,14.71,21.18,10.71,262.57
198862457,10,24.95,20.95,262.57
198868544,2.82,18.01,20.83,262.57
198874626,1.18,18.12,22.95,261.29
198880708,0.82,17.3,26.95,261.29
198886789,-5.77,15.65,21.54,261.29
198892872,-10,6,7.53,261.29
198898944,-8.94,3.41,0.47,262.57
198905012,-5.3,4.82,-10,260
198912998,-3.06,2.82,-24.48,262.57
198919089,0.47,1.53,-32.95,261.29
198925165,7.53,1.88,-30.01,260
198931237,9.77,5.88,-23.77,261.29
198937314,11.77,4.35,-20.36,261.29
198943396,11.06,5.53,-12,261.29
198949476,11.89,7.65,2,262.57
198955563,9.53,9.77,8.94,262.57
198961632,5.41,11.53,19.77,262.57
198967713,-1.29,11.18,21.89,262.57
198973795,-5.41,12,22.71,262.57
198979876,-8.12,16.48,24.71,261.29
198985960,-10.71,16.48,21.18,262.57
198992049,-12.94,13.89,11.3,262.57
199001030,-8.36,14.47,3.3,261.29
199007317,-2.94,14.36,-3.88,261.29
199013397,0.47,12.59,-7.88,263.86
199019475,6.24,8.59,-12.94,261.29
199025551,9.77,10,-12.59,260
199031630,11.65,9.41,-7.88,261.29
199037705,10.36,5.18,-8,261.29
199043779,10.94,2.82,-5.77,262.57
199049853,11.89,2.94,-0.12,261.29
199055943,15.77,-13.89,-8.59,261.29
199062026,10.24,-2.47,4,261.29
199068099,5.65,3.88,4.59,262.57
199074168,2,7.53,3.3,261.29
199080235,-2,12.47,8.36,262.57
199086309,-5.77,13.3,-0.24,261.29
199094582,-6.94,14.95,-1.41,261.29
199100675,-6.59,14.36,-6.71,261.29
199106751,-4.47,15.53,-6.24,260
199112825,-3.53,15.89,-8.94,262.57
199118901,-1.18,13.3,-10.36,262.57
199124987,-18.36,-22.36,19.65,261.29
199131077,3.53,33.66,-20.36,261.29
199137160,-1.77,19.42,-2.71,260
199143234,4.24,9.18,-1.88,261.29
199149303,5.18,9.3,4.94,263.86
199155371,4.59,4.71,8,260
199161436,4.47,3.65,13.53,262.57
199167511,3.41,4.24,12.83,260
199173584,2.47,2.82,13.06,261.29
199182579,0.82,3.06,12.36,262.57
199182579,0.82,3.06,12.36,262.57
