time_us,ax,ay,az,D
261750728,33.66,-21.42,-21.42,245.86
261757028,54.72,-18.83,29.07,245.86
261763118,15.53,2.82,60.13,248.43
261769201,-11.41,22.24,68.37,247.15
261775291,-34.48,31.19,37.78,245.86
261781383,-26.36,37.07,-0.47,248.43
261787465,2.59,22.71,-54.96,247.15
261793548,44.84,8.94,-60.96,247.15
261799630,50.84,4.47,-38.6,244.58
261809554,28.71,-1.88,14.24,248.43
261816013,-20.48,5.88,33.66,248.43
261822100,-52.6,9.3,30.48,248.43
261828196,-60.61,9.41,13.3,248.43
261834279,-34.48,12.71,-14.71,249.72
261840372,13.06,2.24,-25.07,245.86
261846456,41.78,-4.35,-19.06,247.15
261852540,54.02,9.3,3.88,247.15
261858615,45.78,20.36,28.83,247.15
261864706,6.24,26.36,37.89,248.43
261870790,-13.65,33.54,30.13,247.15
261876881,-32.01,31.19,7.77,249.72
261882966,-35.42,18.24,-23.77,248.43
261889057,-23.89,9.77,-44.84,245.86
261897277,18.71,-8,-50.84,245.86
261903375,30.36,-15.65,-41.66,245.86
261909467,28.83,-11.89,-2.12,248.43
261915550,15.3,-7.06,27.42,247.15
261921633,0.94,9.53,49.54,247.15
261927708,-24.24,16.24,39.31,247.15
261933815,-33.19,27.77,28.13,247.15
261939906,-24.01,28.36,10.83,248.43
261945996,-7.18,25.65,-16.95,247.15
261952081,15.89,19.42,-32.71,247.15
261958173,30.71,10.36,-32.01,245.86
261964263,46.95,0.71,-19.3,248.43
261970346,39.42,7.3,-0.82,245.86
261976422,10.47,8.12,10,247.15
261986084,-19.06,14.36,21.77,248.43
261992470,-37.78,13.18,11.18,248.43
261998566,-41.42,6.83,-7.88,247.15
262004643,-26.24,2.71,-15.77,247.15
262010727,-8.71,-2,-20.01,247.15
262016802,19.06,-1.18,-18.12,247.15
262022886,28.24,1.65,-5.65,248.43
262028963,30.24,6.35,8.83,249.72
262035054,25.77,14.83,32.36,248.43
262041145,8.12,22.01,34.36,248.43
262047229,-5.41,24.36,33.19,247.15
262053314,-17.06,23.3,19.18,248.43
262059405,-18.83,22.12,7.77,245.86
262065489,-14.71,18.48,-11.89,247.15
262071581,-8.12,6.83,-28.36,248.43
262079563,11.06,-10.36,-38.01,247.15
262085669,19.77,-5.77,-28.36,245.86
262091753,19.53,-8.71,-26.36,245.86
262097838,13.89,-6.24,-10.47,248.43
262103922,6.59,-0.35,6.71,247.15
262109991,-3.65,12.36,27.18,248.43
262116075,-16.83,10.94,27.89,249.72
262122167,-24.83,17.18,24.71,248.43
262128259,-22.24,17.65,20.36,248.43
262134362,-15.3,20.59,8.94,245.86
262140446,-0.82,16.12,-3.06,247.15
262146521,7.3,12,-15.77,247.15
262152604,20.71,12,-15.53,245.86
262158694,22.83,14,-11.18,245.86
262168103,20.83,11.3,-3.41,248.43
262174451,16,11.18,1.77,248.43
262180546,4.35,13.53,8.59,247.15
262186627,-5.41,5.77,14.12,248.43
262192706,-16.71,4.12,6,247.15
262198783,-16.12,1.65,0.71,247.15
262204860,-14,2.94,-1.29,247.15
262210936,-11.65,4.12,-9.3,248.43
262217013,-7.88,0.24,-19.53,247.15
262223091,-0.82,-0.82,-21.77,247.15
262229168,9.53,3.88,-17.89,248.43
262235245,9.77,9.3,-14.95,248.43
262241322,11.18,13.53,-1.29,248.43
262247407,9.89,19.3,9.06,247.15
262255342,4.47,19.89,21.18,249.72
262261443,0.94,21.06,29.54,248.43
262267526,-0.71,17.89,31.42,245.86
262273610,-4.35,16.83,26.71,247.15
262279695,-5.53,12.47,20.24,247.15
262285779,-7.88,12.71,9.18,248.43
262291858,-7.41,10.47,1.18,247.15
262297934,-6,4.12,-20.24,248.43
262304011,0.94,6.94,-24.24,245.86
262310089,2.47,8.71,-29.66,248.43
262316166,6.71,4.71,-29.77,247.15
262322244,10.83,4.12,-25.89,247.15
262328329,13.06,3.41,-17.53,245.86
262334413,11.77,3.88,-9.3,248.43
262342557,8.47,3.77,2.82,245.86
262348690,3.53,5.3,9.06,248.43
262354763,-0.47,6.83,17.06,245.86
262360840,-6.83,9.06,16.48,248.43
262366918,-8.36,10.59,17.53,245.86
262373001,-10.83,13.3,15.53,247.15
262379093,-10.94,14.83,12.24,247.15
262385184,-9.65,15.89,5.88,248.43
262391261,-6.94,15.53,1.77,247.15
262397340,-4,15.06,-3.3,249.72
262403415,-0.82,12,-7.65,247.15
262403415,-0.82,12,-7.65,247.15
